iter	RMSE
0	0.7610052224
1	0.742706394
2	0.7264071429
3	0.7118950382
4	0.6986336008
5	0.6871052439
6	0.6759610772
7	0.6666767491
8	0.6579003725
9	0.6494121903
10	0.6422306781
11	0.6359780243
12	0.629330255
13	0.6243209094
14	0.6194187893
15	0.6151034944
16	0.6110804141
17	0.6077055114
18	0.6040563513
19	0.6005777125
20	0.5970387508
21	0.5943129397
22	0.5913078718
23	0.5885564527
24	0.5860456478
25	0.584366826
26	0.5817168844
27	0.5799667427
28	0.5776470809
29	0.5759538203
30	0.5742640191
31	0.572972505
32	0.5710769986
33	0.5696180339
34	0.5681550008
35	0.5668668291
36	0.5657733911
37	0.5650239238
38	0.5634389717
39	0.5615556395
40	0.560755224
41	0.5601687933
42	0.5590809739
43	0.5572797246
44	0.5561547602
45	0.5534083864
46	0.5519470605
47	0.55065498
48	0.5497769726
49	0.5487089681
50	0.5473853092
51	0.5464990846
52	0.5456886659
53	0.5452990226
54	0.5439236406
55	0.5427875346
56	0.5419764082
57	0.5412548965
58	0.5396407071
59	0.538822381
60	0.5379750734
61	0.537158833
62	0.536684019
63	0.5347569871
64	0.5333031967
65	0.5319643017
66	0.5312635345
67	0.5304289373
68	0.529100331
69	0.5290954791
70	0.5282739963
71	0.5267850649
72	0.5257732879
73	0.5243874676
74	0.5235327188
75	0.5228663764
76	0.5219488896
77	0.5211277754
78	0.5201159184
79	0.5190633147
80	0.5185227542
81	0.5177721739
82	0.5177710686
83	0.5177708478
84	0.5171415242
85	0.5166361222
86	0.5166350988
87	0.515905562
88	0.5159003118
89	0.5153710533
90	0.5148152081
91	0.5139330259
92	0.5130106073
93	0.5125404774
94	0.5121903732
95	0.5113783014
96	0.5111089742
97	0.5100138441
98	0.5095434141
99	0.5093014952
100	0.508951345
101	0.5083783557
102	0.5074973646
103	0.5074833386
104	0.506676392
105	0.506112661
106	0.5056326831
107	0.5053338411
108	0.504534703
109	0.5040681468
110	0.5036743348
111	0.503668307
112	0.5032637722
113	0.5032632824
114	0.5026018902
115	0.5024561604
116	0.502024416
117	0.5015598318
118	0.5012394659
119	0.5009919361
120	0.5005229079
121	0.5005213214
122	0.4996643581
123	0.4991027885
124	0.4991027157
125	0.4988629295
126	0.4981661636
127	0.4975350543
128	0.4971042385
129	0.4968115001
130	0.4967659974
131	0.4967646859
132	0.4967639831
133	0.4965858047
134	0.4959366609
135	0.4951983997
136	0.4947863553
137	0.4944843314
138	0.4938050694
139	0.4938041158
140	0.4933653249
141	0.4930815293
142	0.4924932024
143	0.4924925244
144	0.4917431068
145	0.4911485893
146	0.4911459311
147	0.4905415977
148	0.490539709
149	0.4905283893
150	0.4905212225
151	0.4905154559
152	0.4893518296
153	0.4893501608
154	0.4893430402
155	0.489335328
156	0.4889681217
157	0.4878827965
158	0.4878708608
159	0.487673281
160	0.4874026146
161	0.4874010146
162	0.4873873183
163	0.4873365666
164	0.4869893386
165	0.4869817477
166	0.4861984617
167	0.4856977161
168	0.4856970441
169	0.4854618727
170	0.4848833134
171	0.4842654298
172	0.4835153941
173	0.4835091766
174	0.483499868
175	0.483493153
176	0.4827127062
177	0.4820310373
178	0.4814526724
179	0.4814456397
